Year,Month,Dom_Pax,Dom_Flt,Dom_RPM
2003,1,"43,032,450","785,160","36,211,422"
2003,2,"41,166,780","690,351","34,148,439"
2003,3,"49,992,700","797,194","41,774,564"
2003,4,"47,033,260","766,260","39,465,980"
2003,5,"49,152,352","789,397","41,001,934"
2003,6,"52,209,516","798,351","44,492,972"
2003,7,"55,810,773","831,619","48,321,924"
2003,8,"53,920,973","830,737","46,982,527"
2003,9,"44,213,408","781,804","36,819,820"
2003,10,"49,944,931","818,308","41,480,412"
2003,11,"47,059,495","765,842","39,333,528"
2003,12,"49,757,124","798,392","42,699,596"
2004,1,"43,815,481","787,237","38,114,607"
2004,2,"45,306,597","761,618","38,575,084"
2004,3,"54,147,227","834,476","46,507,739"
2004,4,"53,253,194","817,899","45,795,662"
2004,5,"53,030,873","833,350","45,350,262"
2004,6,"56,959,142","836,916","49,774,219"
2004,7,"59,614,287","871,049","52,730,292"
2004,8,"57,380,873","882,979","50,816,430"
2004,9,"47,671,785","819,294","40,644,161"
2004,10,"54,167,489","861,291","45,765,588"
2004,11,"51,781,700","820,048","43,561,708"
2004,12,"52,639,838","836,232","45,181,080"
2005,1,"47,977,657","807,338","41,609,095"
2005,2,"47,074,882","760,955","40,114,944"
2005,3,"58,838,975","866,593","50,789,921"
2005,4,"54,908,859","838,122","47,002,623"
2005,5,"57,323,876","872,961","49,016,422"
2005,6,"59,724,061","863,422","52,181,786"
2005,7,"62,396,446","887,084","55,290,372"
2005,8,"59,110,633","890,938","52,510,003"
2005,9,"50,600,325","814,935","43,524,915"
2005,10,"53,738,093","831,265","45,895,538"
2005,11,"52,766,404","797,460","45,109,831"
2005,12,"52,801,276","802,067","46,190,194"
2006,1,"48,886,043","785,364","42,966,268"
2006,2,"47,348,142","715,843","40,927,215"
2006,3,"58,286,011","823,793","50,693,391"
2006,4,"55,828,555","794,390","48,800,883"
2006,5,"57,145,193","824,051","49,302,219"
2006,6,"59,297,121","820,310","52,200,272"
2006,7,"60,838,606","852,114","54,506,446"
2006,8,"58,303,233","866,551","52,074,386"
2006,9,"49,949,551","799,777","43,108,587"
2006,10,"55,088,983","828,218","47,137,132"
2006,11,"53,852,209","792,523","45,966,808"
2006,12,"53,538,970","805,058","46,835,639"
2007,1,"50,022,168","803,924","43,823,680"
2007,2,"47,766,421","724,657","41,270,274"
2007,3,"59,244,232","830,373","51,518,429"
2007,4,"57,396,328","809,663","49,772,604"
2007,5,"59,283,597","844,074","51,031,835"
2007,6,"61,493,934","832,163","54,018,698"
2007,7,"63,457,403","863,658","56,572,990"
2007,8,"62,657,667","872,349","55,682,567"
2007,9,"52,308,015","805,066","45,240,419"
2007,10,"57,206,249","841,179","49,069,269"
2007,11,"55,044,206","804,635","47,256,388"
2007,12,"53,288,538","803,981","47,070,645"
2008,1,"50,245,100","793,275","44,233,383"
2008,2,"50,118,363","746,679","43,429,251"
2008,3,"59,213,077","817,511","52,016,986"
2008,4,"55,611,053","799,664","48,189,445"
2008,5,"58,047,400","820,114","50,259,912"
2008,6,"59,559,171","815,914","52,521,309"
2008,7,"61,401,480","844,737","54,621,353"
2008,8,"58,966,473","823,517","52,643,145"
2008,9,"47,680,001","728,377","41,015,589"
2008,10,"52,956,023","758,538","44,913,078"
2008,11,"47,658,141","707,246","40,578,576"
2008,12,"50,253,658","720,062","43,824,845"
2009,1,"44,821,711","709,933","39,299,677"
2009,2,"43,677,233","659,899","37,640,543"
2009,3,"53,531,487","747,363","46,517,762"
2009,4,"52,245,401","728,856","45,419,272"
2009,5,"52,948,582","748,984","45,980,480"
2009,6,"55,898,027","760,136","49,290,277"
2009,7,"59,468,957","793,994","52,704,797"
2009,8,"56,568,180","781,315","50,467,288"
2009,9,"48,235,025","709,793","41,656,736"
2009,10,"52,279,405","726,573","44,781,574"
2009,11,"48,584,832","694,749","41,573,015"
2009,12,"49,793,438","704,840","43,650,676"
2010,1,"45,501,620","694,852","40,301,481"
2010,2,"42,440,614","622,999","36,997,641"
2010,3,"54,424,077","739,894","47,619,591"
2010,4,"52,498,074","722,566","45,662,025"
2010,5,"53,842,422","741,574","46,953,589"
2010,6,"56,689,853","751,326","50,387,611"
2010,7,"59,142,493","782,439","53,095,873"
2010,8,"57,370,748","781,423","51,439,492"
2010,9,"50,304,708","718,643","43,694,603"
2010,10,"54,826,050","737,224","47,283,497"
2010,11,"51,420,350","704,372","44,351,331"
2010,12,"51,076,415","702,581","45,067,192"
