DATE,USNGSP
1997-01-01,8577552.0
1998-01-01,9062817.0
1999-01-01,9631172.0
2000-01-01,10250952.0
2001-01-01,10581929.0
2002-01-01,10929108.0
2003-01-01,11456450.0
2004-01-01,12217196.0
2005-01-01,13039197.0
2006-01-01,13815583.0
2007-01-01,14474228.0
2008-01-01,14769862.0
2009-01-01,14478067.0
2010-01-01,15048971.0
2011-01-01,15599732.0
2012-01-01,16253970.0
2013-01-01,16880683.0
2014-01-01,17608138.0
2015-01-01,18295019.0
2016-01-01,18804913.0
2017-01-01,19612102.0
2018-01-01,20656516.0
2019-01-01,21521395.0
2020-01-01,21322950.0
2021-01-01,23594031.0
2022-01-01,25744108.0
2023-01-01,27360935.0
